PRODUCT_ID,MANUFACTURER,DEPARTMENT,BRAND,COMMODITY_DESC,SUB_COMMODITY_DESC,CURR_SIZE_OF_PRODUCT
25671,2,GROCERY,National,FRZN ICE,ICE - CRUSHED/CUBED,22 LB
26081,2,MISC. TRANS.,National,NO COMMODITY DESCRIPTION,NO SUBCOMMODITY DESCRIPTION, 
26093,69,PASTRY,Private,BREAD,BREAD:ITALIAN/FRENCH, 
26190,69,GROCERY,Private,FRUIT - SHELF STABLE,APPLE SAUCE,50 OZ
26355,69,GROCERY,Private,COOKIES/CONES,SPECIALTY COOKIES,14 OZ
26426,69,GROCERY,Private,SPICES & EXTRACTS,SPICES & SEASONINGS,2.5 OZ
26540,69,GROCERY,Private,COOKIES/CONES,TRAY PACK/CHOC CHIP COOKIES,16 OZ
26601,69,DRUG GM,Private,VITAMINS,VITAMIN - MINERALS,300CT(1)
26636,69,PASTRY,Private,BREAKFAST SWEETS,SW GDS: SW ROLLS/DAN, 
26691,16,GROCERY,Private,PNT BTR/JELLY/JAMS,HONEY,12 OZ
26738,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS,TRADITIONAL,56 OZ
26889,32,DRUG GM,National,MAGAZINE,TV/MOVIE-MAGAZINE, 
26941,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS,TRADITIONAL,56 OZ
27021,2,GROCERY,National,AIR CARE,AIR CARE - AEROSOLS, 
27030,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS,TRADITIONAL,56 OZ
27152,69,GROCERY,Private,SPICES & EXTRACTS,SPICES & SEASONINGS,4 OZ
27158,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS,TRADITIONAL,56 OZ
27159,69,GROCERY,Private,CHEESE,STRING CHEESE,1 OZ
27160,69,GROCERY,Private,SHORTENING/OIL,VEGETABLE/SALAD OIL,48 OZ
27323,69,GROCERY,Private,COFFEE,INSTANT DECAF FLVR COFFEE W/ S,9 OZ
27334,69,DRUG GM,Private,DIETARY AID PRODUCTS,DIET CNTRL LIQS NUTRITIONAL, 
27346,69,GROCERY,Private,PAPER HOUSEWARES,PAPER AND FOAM DRINKING CUPS,24 CT
27404,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS,TRADITIONAL,56 OZ
27479,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,20 OZ
27491,69,GROCERY,Private,CHEESE,NATURAL CHEESE EXACT WT CHUNKS,24 OZ
27503,69,GROCERY,Private,FRUIT - SHELF STABLE,CRANBERRY SAUCE,16 OZ
27509,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,20 OZ
27510,69,GROCERY,Private,VEGETABLES - SHELF STABLE,MIXED VEGETABLES,15 OZ
27522,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS,TRADITIONAL,1/2 GAL
27558,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS,TRADITIONAL,56 OZ
27633,69,GROCERY,Private,HISPANIC,MEXICAN BEANS REFRIED,16 OZ
27657,69,GROCERY,Private,CHEESE,NATURAL CHEESE EXACT WT CHUNKS,A B D  8OZ
27658,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,20 OZ
27686,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS,TRADITIONAL,64 OZ
27695,69,GROCERY,Private,DINNER MXS:DRY,SKILLET DINNERS,5.8 OZ
27697,69,GROCERY,Private,CONDIMENTS/SAUCES,HOT MUSTARD/SPECIALTY MUSTAR,12 OZ
27732,69,GROCERY,Private,PAPER HOUSEWARES,PLASTIC/HEAVY PAPER PREM PLATE,24 CT
27735,69,GROCERY,Private,CHEESE,IWS SINGLE CHEESE,12 OZ
27745,69,GROCERY,Private,PNT BTR/JELLY/JAMS,HONEY,32 OZ
27754,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
27760,69,GROCERY,Private,DINNER MXS:DRY,MACARONI & CHEESE DNRS,14 OZ
27762,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS,TRADITIONAL,56 OZ
27764,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS,TRADITIONAL,56 OZ
27767,69,GROCERY,Private,DINNER MXS:DRY,SKILLET DINNERS,6.5 OZ
27812,69,GROCERY,Private,COFFEE,GROUND COFFEE,34.5 OZ
27860,69,GROCERY,Private,BAKING NEEDS,PIE FILLING MINCEMEAT GLAZES,21 OZ
27861,69,GROCERY,Private,VEGETABLES - SHELF STABLE,POTATOES SWEET,29 OZ
27864,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,ENGLISH MUFFINS/WAFFLES,13 OZ
27894,69,GROCERY,Private,PAPER HOUSEWARES,PLSTC CTLRYTBLCLTHSTTHPKSST,72 CT
27923,69,GROCERY,Private,HISPANIC,MEXICAN BEANS REFRIED,16 OZ
